key,en,zh,zh_TW,zh_CN,ja,ko,de,es,fr,it,pt,ru,tr,vi,id,ar,hi
player_shuffle,Shuffle,隨機播放,隨機播放,随机播放,シャッフル,셔플,Zufallswiedergabe,Aleatorio,Aléatoire,Casuale,Aleatório,Случайно,Karışık,Phát ngẫu nhiên,Acak,تشغيل عشوائي,शफ़ल
player_loop,Repeat,循環播放,循環播放,循环播放,リピート,반복,Wiederholen,Repetir,Répéter,Ripeti,Repetir,Повтор,Tekrarla,Lặp lại,Ulangi,تكرار,दोहराएँ
player_forward,Forward 5s,快進5秒,快進5秒,快进5秒,5秒進む,5초 앞으로,5s vor,Avanzar 5s,Avancer 5s,Avanti 5s,Avançar 5s,Вперёд 5с,5sn ileri,Tua tới 5 giây,Maju 5d,تقديم ٥ ثوانٍ,5 सेकंड आगे
player_rewind,Rewind 5s,快退5秒,快退5秒,快退5秒,5秒戻る,5초 뒤로,5s zurück,Retroceder 5s,Reculer 5s,Indietro 5s,Retroceder 5s,Назад 5с,5sn geri,Tua lại 5 giây,Mundur 5d,ترجيع ٥ ثوانٍ,5 सेकंड पीछे
player_speed,Playback speed,播放速度,播放速度,播放速度,再生速度,재생 속도,Wiedergabegeschwindigkeit,Velocidad de reproducción,Vitesse de lecture,Velocità di riproduzione,Velocidade de reprodução,Скорость воспроизведения,Oynatma hızı,Tốc độ phát,Kecepatan pemutaran,سرعة التشغيل,प्लेबैक गति
common_reset,Reset,重設,重設,重置,リセット,초기화,Zurücksetzen,Restablecer,Réinitialiser,Reimposta,Redefinir,Сброс,Sıfırla,Đặt lại,Atur ulang,إعادة تعيين,रीसेट
player_nothing_playing,Nothing playing,目前沒有播放中的曲目,目前沒有播放中的曲目,当前没有正在播放的曲目,再生中の曲はありません,재생 중인 곡이 없습니다,Nichts wird abgespielt,No se está reproduciendo nada,Aucune lecture en cours,Nessuna riproduzione in corso,Nada em reprodução,Ничего не воспроизводится,Çalan bir şey yok,Không có gì đang phát,Tidak ada yang diputar,لا يوجد تشغيل حالي,कुछ भी नहीं चल रहा
music_import,Import music,匯入音樂,匯入音樂,导入音乐,音楽をインポート,음악 가져오기,Musik importieren,Importar música,Importer de la musique,Importa musica,Importar música,Импорт музыки,Müzik içe aktar,Nhập nhạc,Impor musik,استيراد الموسيقى,संगीत आयात करें
music_search,Search,搜尋,搜尋,搜索,検索,검색,Suchen,Buscar,Rechercher,Cerca,Pesquisar,Поиск,Ara,Tìm kiếm,Cari,بحث,खोजें
music_empty,No music found. Tap rescan to load songs from your device.,尚無音樂，點擊重新掃描以載入裝置音樂。,找不到音樂，點擊重新掃描以載入裝置音樂。,找不到音乐，点击重新扫描以加载设备音乐。,音楽が見つかりません,음악을 찾을 수 없습니다,Keine Musik gefunden,No se encontró música,Aucune musique trouvée,Nessuna musica trovata,Nenhuma música encontrada,Музыка не найдена,Müzik bulunamadı,Không tìm thấy nhạc,Musik tidak ditemukan,لم يتم العثور على موسيقى,कोई संगीत नहीं मिला
music_remove,Remove,移除,移除,移除,削除,제거,Entfernen,Quitar,Retirer,Rimuovi,Remover,Удалить,Kaldır,Xóa,Hapus,إزالة,हटाएँ
music_rescan,Rescan,重新掃描,重新掃描,重新扫描,再スキャン,다시 검색,Erneut scannen,Volver a escanear,Réanalyser,Ripeti scansione,Verificar novamente,Пересканировать,Yeniden tara,Quét lại,Pindai ulang,إعادة الفحص,फिर से स्कैन करें
permission_title,Storage permission required,需要儲存權限,需要儲存權限,需要存储权限,ストレージへのアクセス許可が必要です,저장소 권한이 필요합니다,Speicherberechtigung erforderlich,Se requiere permiso de almacenamiento,Autorisation de stockage requise,Autorizzazione di archiviazione richiesta,Permissão de armazenamento necessária,Требуется разрешение на доступ к хранилищу,Depolama izni gerekli,Cần quyền truy cập bộ nhớ,Izin penyimpanan diperlukan,مطلوب إذن التخزين,स्टोरेज अनुमति आवश्यक है
permission_message,We need access to your audio files to scan and play local music.,我們需要存取您的音訊檔案以掃描並播放本機音樂。,我們需要存取您的音訊檔案以掃描並播放本機音樂。,我们需要访问您的音频文件以扫描并播放本地音乐。,ローカルの音楽をスキャンして再生するためにオーディオファイルへのアクセスが必要です。,로컬 음악을 검색하고 재생하려면 오디오 파일에 대한 접근 권한이 필요합니다.,Wir benötigen Zugriff auf deine Audiodateien um lokale Musik zu scannen und abzuspielen.,Necesitamos acceso a tus archivos de audio para escanear y reproducir música local.,Nous avons besoin d'accéder à vos fichiers audio pour analyser et lire la musique locale.,Abbiamo bisogno di accedere ai tuoi file audio per cercare e riprodurre la musica locale.,Precisamos de acesso aos seus arquivos de áudio para verificar e reproduzir músicas locais.,Нам нужен доступ к вашим аудиофайлам для сканирования и воспроизведения локальной музыки.,Yerel müzikleri taramak ve çalmak için ses dosyalarınıza erişmemiz gerekiyor.,Chúng tôi cần quyền truy cập tệp âm thanh để quét và phát nhạc cục bộ.,Kami memerlukan akses ke file audio Anda untuk memindai dan memutar musik lokal.,نحتاج إلى الوصول إلى ملفاتك الصوتية لفحص الموسيقى المحلية وتشغيلها.,स्थानीय संगीत को स्कैन और चलाने के लिए हमें आपकी ऑडियो फ़ाइलों तक पहुँच की आवश्यकता है।
permission_allow,Allow,允許,允許,允许,許可,허용,Zulassen,Permitir,Autoriser,Consenti,Permitir,Разрешить,İzin ver,Cho phép,Izinkan,السماح,अनुमति दें
permission_deny,Not now,暫不,暫不,暂不,後で,나중에,Nicht jetzt,Ahora no,Pas maintenant,Non ora,Agora não,Не сейчас,Şimdi değil,Để sau,Nanti saja,ليس الآن,अभी नहीं
permission_open_settings,Open settings,前往設定,前往設定,前往设置,設定を開く,설정 열기,Einstellungen öffnen,Abrir ajustes,Ouvrir les paramètres,Apri impostazioni,Abrir configurações,Открыть настройки,Ayarları aç,Mở cài đặt,Buka pengaturan,فتح الإعدادات,सेटिंग्स खोलें
settings_language,Language,語言,語言,语言,言語,언어,Sprache,Idioma,Langue,Lingua,Idioma,Язык,Dil,Ngôn ngữ,Bahasa,اللغة,भाषा
settings_language_system,System default,跟隨系統,跟隨系統,跟随系统,システムのデフォルト,시스템 기본값,Systemstandard,Predeterminado del sistema,Par défaut du système,Predefinito di sistema,Padrão do sistema,Системный язык,Sistem varsayılanı,Mặc định hệ thống,Default sistem,إعداد النظام الافتراضي,सिस्टम डिफ़ॉल्ट
settings_theme,Theme,主題,主題,主题,テーマ,테마,Design,Tema,Thème,Tema,Tema,Тема,Tema,Giao diện,Tema,السمة,थीम
settings_theme_system,System,跟隨系統,跟隨系統,跟随系统,システム,시스템,System,Sistema,Système,Sistema,Sistema,Системная,Sistem,Hệ thống,Sistem,النظام,सिस्टम
settings_theme_light,Light,淺色,淺色,浅色,ライト,라이트,Hell,Claro,Clair,Chiaro,Claro,Светлая,Açık,Sáng,Terang,فاتح,लाइट
settings_theme_dark,Dark,深色,深色,深色,ダーク,다크,Dunkel,Oscuro,Sombre,Scuro,Escuro,Тёмная,Koyu,Tối,Gelap,داكن,डार्क
statistics_total_time,Total listening time,總聆聽時長,總聆聽時長,总收听时长,総再生時間,총 재생 시간,Gesamte Hörzeit,Tiempo total de escucha,Temps d'écoute total,Tempo di ascolto totale,Tempo total de audição,Общее время прослушивания,Toplam dinleme süresi,Tổng thời gian nghe,Total waktu mendengarkan,إجمالي وقت الاستماع,कुल सुनने का समय
statistics_play_count,Total plays,總播放次數,總播放次數,总播放次数,総再生回数,총 재생 횟수,Wiedergaben insgesamt,Reproducciones totales,Lectures totales,Riproduzioni totali,Total de reproduções,Всего прослушиваний,Toplam çalma,Tổng lượt phát,Total pemutaran,إجمالي مرات التشغيل,कुल प्ले
statistics_top_tracks,Most played,最常聆聽,最常聆聽,最常收听,再生回数が多い曲,가장 많이 재생됨,Meistgespielt,Más reproducidas,Les plus écoutées,Più riprodotte,Mais reproduzidas,Самые прослушиваемые,En çok çalınanlar,Nghe nhiều nhất,Paling sering diputar,الأكثر تشغيلاً,सबसे ज़्यादा चलाए गए
statistics_empty,No statistics yet,尚無統計數據,尚無統計數據,暂无统计数据,まだ統計がありません,아직 통계가 없습니다,Noch keine Statistiken,Aún no hay estadísticas,Pas encore de statistiques,Ancora nessuna statistica,Ainda sem estatísticas,Пока нет статистики,Henüz istatistik yok,Chưa có thống kê,Belum ada statistik,لا توجد إحصائيات بعد,अभी कोई आँकड़े नहीं
statistics_reset,Reset statistics,重設統計數據,重設統計數據,重置统计数据,統計をリセット,통계 초기화,Statistiken zurücksetzen,Restablecer estadísticas,Réinitialiser les statistiques,Reimposta statistiche,Redefinir estatísticas,Сбросить статистику,İstatistikleri sıfırla,Đặt lại thống kê,Atur ulang statistik,إعادة تعيين الإحصائيات,आँकड़े रीसेट करें
statistics_reset_title,Reset statistics?,重設統計數據？,重設統計數據？,重置统计数据？,統計をリセットしますか？,통계를 초기화할까요?,Statistiken zurücksetzen?,¿Restablecer estadísticas?,Réinitialiser les statistiques ?,Reimpostare le statistiche?,Redefinir estatísticas?,Сбросить статистику?,İstatistikler sıfırlansın mı?,Đặt lại thống kê?,Atur ulang statistik?,إعادة تعيين الإحصائيات؟,आँकड़े रीसेट करें?
statistics_reset_message,All listening statistics on this device will be deleted. This cannot be undone.,將刪除此裝置上的所有聆聽統計，此操作無法復原。,將刪除此裝置上的所有聆聽統計，此操作無法復原。,将删除此设备上的所有收听统计，此操作无法撤销。,このデバイスのすべての再生統計が削除されます。この操作は取り消せません。,이 기기의 모든 재생 통계가 삭제됩니다. 이 작업은 취소할 수 없습니다.,Alle Hörstatistiken auf diesem Gerät werden gelöscht. Dies kann nicht rückgängig gemacht werden.,Se eliminarán todas las estadísticas de escucha en este dispositivo. Esta acción no se puede deshacer.,Toutes les statistiques d'écoute sur cet appareil seront supprimées. Cette action est irréversible.,Tutte le statistiche di ascolto su questo dispositivo verranno eliminate. L'azione non può essere annullata.,Todas as estatísticas de audição neste dispositivo serão excluídas. Esta ação não pode ser desfeita.,Вся статистика прослушивания на этом устройстве будет удалена. Это действие нельзя отменить.,Bu cihazdaki tüm dinleme istatistikleri silinecek. Bu işlem geri alınamaz.,Tất cả thống kê nghe trên thiết bị này sẽ bị xóa. Không thể hoàn tác.,Semua statistik mendengarkan di perangkat ini akan dihapus. Tindakan ini tidak dapat dibatalkan.,سيتم حذف جميع إحصائيات الاستماع على هذا الجهاز. لا يمكن التراجع عن هذا الإجراء.,इस डिवाइस पर सुनने के सभी आँकड़े हटा दिए जाएँगे। इसे पूर्ववत नहीं किया जा सकता।
statistics_reset_message_cloud,All listening statistics on this device and your cloud backup will be deleted. This cannot be undone.,將刪除此裝置上的所有聆聽統計與雲端備份，此操作無法復原。,將刪除此裝置上的所有聆聽統計與雲端備份，此操作無法復原。,将删除此设备上的所有收听统计与云端备份，此操作无法撤销。,このデバイスとクラウドバックアップのすべての再生統計が削除されます。この操作は取り消せません。,이 기기와 클라우드 백업의 모든 재생 통계가 삭제됩니다. 이 작업은 취소할 수 없습니다.,Alle Hörstatistiken auf diesem Gerät und in deinem Cloud-Backup werden gelöscht. Dies kann nicht rückgängig gemacht werden.,Se eliminarán todas las estadísticas de escucha en este dispositivo y en tu copia de seguridad en la nube. Esta acción no se puede deshacer.,Toutes les statistiques d'écoute sur cet appareil et dans votre sauvegarde cloud seront supprimées. Cette action est irréversible.,Tutte le statistiche di ascolto su questo dispositivo e nel backup cloud verranno eliminate. L'azione non può essere annullata.,Todas as estatísticas de audição neste dispositivo e no seu backup na nuvem serão excluídas. Esta ação não pode ser desfeita.,Вся статистика прослушивания на этом устройстве и в облачной резервной копии будет удалена. Это действие нельзя отменить.,Bu cihazdaki ve bulut yedeğinizdeki tüm dinleme istatistikleri silinecek. Bu işlem geri alınamaz.,Tất cả thống kê nghe trên thiết bị này và bản sao lưu đám mây của bạn sẽ bị xóa. Không thể hoàn tác.,Semua statistik mendengarkan di perangkat ini dan cadangan cloud Anda akan dihapus. Tindakan ini tidak dapat dibatalkan.,سيتم حذف جميع إحصائيات الاستماع على هذا الجهاز وفي نسختك الاحتياطية السحابية. لا يمكن التراجع عن هذا الإجراء.,इस डिवाइस और आपके क्लाउड बैकअप पर सुनने के सभी आँकड़े हटा दिए जाएँगे। इसे पूर्ववत नहीं किया जा सकता।
statistics_reset_confirm,Reset,重設,重設,重置,リセット,초기화,Zurücksetzen,Restablecer,Réinitialiser,Reimposta,Redefinir,Сбросить,Sıfırla,Đặt lại,Atur ulang,إعادة تعيين,रीसेट करें
statistics_chart_title,Listening time,聆聽時長,聆聽時長,收听时长,再生時間,재생 시간,Hörzeit,Tiempo de escucha,Temps d'écoute,Tempo di ascolto,Tempo de audição,Время прослушивания,Dinleme süresi,Thời gian nghe,Waktu mendengarkan,وقت الاستماع,सुनने का समय
statistics_chart_week,Week,週,週,周,週,주,Woche,Semana,Semaine,Settimana,Semana,Неделя,Hafta,Tuần,Minggu,أسبوع,सप्ताह
statistics_chart_month,Month,月,月,月,月,월,Monat,Mes,Mois,Mese,Mês,Месяц,Ay,Tháng,Bulan,شهر,महीना
statistics_chart_year,Year,年,年,年,年,년,Jahr,Año,Année,Anno,Ano,Год,Yıl,Năm,Tahun,سنة,वर्ष
about_version,Version,版本,版本,版本,バージョン,버전,Version,Versión,Version,Versione,Versão,Версия,Sürüm,Phiên bản,Versi,الإصدار,संस्करण
about_developer,Developer,開發者,開發者,开发者,開発者,개발자,Entwickler,Desarrollador,Développeur,Sviluppatore,Desenvolvedor,Разработчик,Geliştirici,Nhà phát triển,Pengembang,المطور,डेवलपर
about_licenses,Open source licenses,開源授權,開源授權,开源许可,オープンソースライセンス,오픈 소스 라이선스,Open-Source-Lizenzen,Licencias de código abierto,Licences open source,Licenze open source,Licenças de código aberto,Лицензии открытого ПО,Açık kaynak lisansları,Giấy phép mã nguồn mở,Lisensi sumber terbuka,تراخيص المصادر المفتوحة,ओपन सोर्स लाइसेंस
about_privacy,Privacy policy,隱私權政策,隱私權政策,隐私政策,プライバシーポリシー,개인정보 처리방침,Datenschutzrichtlinie,Política de privacidad,Politique de confidentialité,Informativa sulla privacy,Política de privacidade,Политика конфиденциальности,Gizlilik politikası,Chính sách quyền riêng tư,Kebijakan privasi,سياسة الخصوصية,गोपनीयता नीति
about_open_source,Open source packages,開源套件,開源套件,开源依赖,オープンソースパッケージ,오픈 소스 패키지,Open-Source-Pakete,Paquetes de código abierto,Paquets open source,Pacchetti open source,Pacotes de código aberto,Пакеты с открытым исходным кодом,Açık kaynak paketleri,Gói mã nguồn mở,Paket sumber terbuka,حزم المصادر المفتوحة,ओपन सोर्स पैकेज
account_guest,Guest,訪客,訪客,访客,ゲスト,게스트,Gast,Invitado,Invité,Ospite,Convidado,Гость,Misafir,Khách,Tamu,ضيف,अतिथि
account_signed_out_message,Sign in to sync your data across devices.,登入以在不同裝置間同步你的資料。,登入以在不同裝置間同步你的資料。,登录以在不同设备间同步你的数据。,サインインしてデバイス間でデータを同期します。,로그인하여 기기 간에 데이터를 동기화하세요.,"Melde dich an, um deine Daten geräteübergreifend zu synchronisieren.",Inicia sesión para sincronizar tus datos entre dispositivos.,Connectez-vous pour synchroniser vos données sur tous vos appareils.,Accedi per sincronizzare i tuoi dati su tutti i dispositivi.,Faça login para sincronizar seus dados entre dispositivos.,"Войдите, чтобы синхронизировать данные между устройствами.",Verilerinizi cihazlar arasında senkronize etmek için oturum açın.,Đăng nhập để đồng bộ dữ liệu trên các thiết bị.,Masuk untuk menyinkronkan data Anda di seluruh perangkat.,سجّل الدخول لمزامنة بياناتك عبر الأجهزة.,अपने डेटा को डिवाइसों में सिंक करने के लिए साइन इन करें।
account_email,Email,電子郵件,電子郵件,电子邮件,メールアドレス,이메일,E-Mail,Correo electrónico,E-mail,Email,E-mail,Эл. почта,E-posta,Email,Email,البريد الإلكتروني,ईमेल
account_password,Password,密碼,密碼,密码,パスワード,비밀번호,Passwort,Contraseña,Mot de passe,Password,Senha,Пароль,Parola,Mật khẩu,Kata sandi,كلمة المرور,पासवर्ड
account_sign_in,Sign in,登入,登入,登录,サインイン,로그인,Anmelden,Iniciar sesión,Se connecter,Accedi,Entrar,Войти,Oturum aç,Đăng nhập,Masuk,تسجيل الدخول,साइन इन
account_sign_up,Sign up,註冊,註冊,注册,新規登録,회원가입,Registrieren,Registrarse,S'inscrire,Registrati,Cadastrar-se,Зарегистрироваться,Kaydol,Đăng ký,Daftar,إنشاء حساب,साइन अप
account_sign_in_google,Sign in with Google,使用 Google 登入,使用 Google 登入,使用 Google 登录,Googleでサインイン,Google로 로그인,Mit Google anmelden,Iniciar sesión con Google,Se connecter avec Google,Accedi con Google,Entrar com o Google,Войти через Google,Google ile oturum aç,Đăng nhập bằng Google,Masuk dengan Google,تسجيل الدخول بحساب Google,Google से साइन इन करें
account_sign_in_facebook,Sign in with Facebook,使用 Facebook 登入,使用 Facebook 登入,使用 Facebook 登录,Facebookでサインイン,Facebook으로 로그인,Mit Facebook anmelden,Iniciar sesión con Facebook,Se connecter avec Facebook,Accedi con Facebook,Entrar com o Facebook,Войти через Facebook,Facebook ile oturum aç,Đăng nhập bằng Facebook,Masuk dengan Facebook,تسجيل الدخول بحساب Facebook,Facebook से साइन इन करें
account_method_email,Sign in with email,使用 Email 登入,使用 Email 登入,使用 Email 登录,メールでサインイン,이메일로 로그인,Mit E-Mail anmelden,Iniciar sesión con correo,Se connecter par e-mail,Accedi con email,Entrar com e-mail,Войти по эл. почте,E-posta ile oturum aç,Đăng nhập bằng email,Masuk dengan email,تسجيل الدخول بالبريد الإلكتروني,ईमेल से साइन इन करें
account_method_phone,Sign in with phone,使用手機號碼登入,使用手機號碼登入,使用手机号码登录,電話でサインイン,전화번호로 로그인,Mit Telefon anmelden,Iniciar sesión con teléfono,Se connecter par téléphone,Accedi con telefono,Entrar com telefone,Войти по телефону,Telefon ile oturum aç,Đăng nhập bằng số điện thoại,Masuk dengan telepon,تسجيل الدخول بالهاتف,फ़ोन से साइन इन करें
account_phone,Phone number,手機號碼,手機號碼,手机号码,電話番号,전화번호,Telefonnummer,Número de teléfono,Numéro de téléphone,Numero di telefono,Número de telefone,Номер телефона,Telefon numarası,Số điện thoại,Nomor telepon,رقم الهاتف,फ़ोन नंबर
account_send_code,Send code,傳送驗證碼,傳送驗證碼,发送验证码,コードを送信,코드 전송,Code senden,Enviar código,Envoyer le code,Invia codice,Enviar código,Отправить код,Kod gönder,Gửi mã,Kirim kode,إرسال الرمز,कोड भेजें
account_sms_code,Verification code,驗證碼,驗證碼,验证码,確認コード,인증 코드,Bestätigungscode,Código de verificación,Code de vérification,Codice di verifica,Código de verificação,Код подтверждения,Doğrulama kodu,Mã xác minh,Kode verifikasi,رمز التحقق,सत्यापन कोड
account_verify_code,Verify and sign in,驗證並登入,驗證並登入,验证并登录,確認してサインイン,인증 후 로그인,Bestätigen und anmelden,Verificar e iniciar sesión,Vérifier et se connecter,Verifica e accedi,Verificar e entrar,Подтвердить и войти,Doğrula ve oturum aç,Xác minh và đăng nhập,Verifikasi dan masuk,تحقق وسجّل الدخول,सत्यापित करें और साइन इन करें
account_code_sent,We've texted you a verification code.,已將驗證碼以簡訊傳送到你的手機。,已將驗證碼以簡訊傳送到你的手機。,已将验证码以短信发送到你的手机。,確認コードをSMSで送信しました。,인증 코드를 SMS로 보냈습니다.,Wir haben dir einen Bestätigungscode per SMS gesendet.,Te hemos enviado un código de verificación por SMS.,Nous vous avons envoyé un code de vérification par SMS.,Ti abbiamo inviato un codice di verifica via SMS.,Enviamos um código de verificação por SMS.,Мы отправили вам код подтверждения по SMS.,Size SMS ile bir doğrulama kodu gönderdik.,Chúng tôi đã gửi mã xác minh cho bạn qua SMS.,Kami telah mengirimi Anda kode verifikasi melalui SMS.,لقد أرسلنا إليك رمز تحقق عبر رسالة نصية.,हमने आपको SMS द्वारा एक सत्यापन कोड भेजा है।
account_continue_guest,Continue as guest,以訪客身分繼續,以訪客身分繼續,以访客身份继续,ゲストとして続行,게스트로 계속하기,Als Gast fortfahren,Continuar como invitado,Continuer en tant qu'invité,Continua come ospite,Continuar como convidado,Продолжить как гость,Misafir olarak devam et,Tiếp tục với tư cách khách,Lanjutkan sebagai tamu,المتابعة كضيف,अतिथि के रूप में जारी रखें
account_sign_out,Sign out,登出,登出,退出登录,サインアウト,로그아웃,Abmelden,Cerrar sesión,Se déconnecter,Esci,Sair,Выйти,Oturumu kapat,Đăng xuất,Keluar,تسجيل الخروج,साइन आउट
account_delete,Delete account,刪除帳號,刪除帳號,删除账号,アカウントを削除,계정 삭제,Konto löschen,Eliminar cuenta,Supprimer le compte,Elimina account,Excluir conta,Удалить аккаунт,Hesabı sil,Xóa tài khoản,Hapus akun,حذف الحساب,खाता हटाएँ
account_delete_confirm,Are you sure you want to delete your account? This cannot be undone.,確定要刪除帳號嗎？此操作無法復原。,確定要刪除帳號嗎？此操作無法復原。,确定要删除账号吗？此操作无法撤销。,アカウントを削除してもよろしいですか？この操作は取り消せません。,계정을 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.,Möchtest du dein Konto wirklich löschen? Dies kann nicht rückgängig gemacht werden.,¿Seguro que quieres eliminar tu cuenta? Esta acción no se puede deshacer.,Voulez-vous vraiment supprimer votre compte ? Cette action est irréversible.,Vuoi davvero eliminare il tuo account? L'azione non può essere annullata.,Tem certeza de que deseja excluir sua conta? Esta ação não pode ser desfeita.,"Вы уверены, что хотите удалить аккаунт? Это действие нельзя отменить.",Hesabınızı silmek istediğinizden emin misiniz? Bu işlem geri alınamaz.,Bạn có chắc chắn muốn xóa tài khoản không? Không thể hoàn tác.,Apakah Anda yakin ingin menghapus akun Anda? Tindakan ini tidak dapat dibatalkan.,هل أنت متأكد أنك تريد حذف حسابك؟ لا يمكن التراجع عن هذا الإجراء.,क्या आप वाकई अपना खाता हटाना चाहते हैं? इसे पूर्ववत नहीं किया जा सकता।
account_delete_data,Delete account data,刪除帳號資料,刪除帳號資料,删除账号数据,アカウントデータを削除,계정 데이터 삭제,Kontodaten löschen,Eliminar datos de la cuenta,Supprimer les données du compte,Elimina dati dell'account,Excluir dados da conta,Удалить данные аккаунта,Hesap verilerini sil,Xóa dữ liệu tài khoản,Hapus data akun,حذف بيانات الحساب,खाता डेटा हटाएँ
account_delete_data_confirm,Delete all your cloud data while keeping your account? This cannot be undone.,確定要刪除你的所有雲端資料但保留帳號嗎？此操作無法復原。,確定要刪除你的所有雲端資料但保留帳號嗎？此操作無法復原。,确定要删除你的所有云端数据但保留账号吗？此操作无法撤销。,アカウントを残したままクラウドデータをすべて削除しますか？この操作は取り消せません。,계정은 유지하면서 모든 클라우드 데이터를 삭제할까요? 이 작업은 취소할 수 없습니다.,"Alle Cloud-Daten löschen, aber das Konto behalten? Dies kann nicht rückgängig gemacht werden.",¿Eliminar todos tus datos en la nube y conservar tu cuenta? Esta acción no se puede deshacer.,Supprimer toutes vos données cloud tout en conservant votre compte ? Cette action est irréversible.,Eliminare tutti i tuoi dati cloud mantenendo l'account? L'azione non può essere annullata.,Excluir todos os seus dados na nuvem e manter a conta? Esta ação não pode ser desfeita.,"Удалить все облачные данные, сохранив аккаунт? Это действие нельзя отменить.",Hesabınızı koruyarak tüm bulut verilerinizi silmek istiyor musunuz? Bu işlem geri alınamaz.,Xóa tất cả dữ liệu đám mây nhưng vẫn giữ tài khoản? Không thể hoàn tác.,Hapus semua data cloud Anda sambil mempertahankan akun? Tindakan ini tidak dapat dibatalkan.,حذف جميع بياناتك السحابية مع الاحتفاظ بحسابك؟ لا يمكن التراجع عن هذا الإجراء.,अपना खाता रखते हुए सभी क्लाउड डेटा हटाएँ? इसे पूर्ववत नहीं किया जा सकता।
account_delete_data_done,Your account data has been deleted.,你的帳號資料已刪除。,你的帳號資料已刪除。,你的账号数据已删除。,アカウントデータを削除しました。,계정 데이터가 삭제되었습니다.,Deine Kontodaten wurden gelöscht.,Se han eliminado los datos de tu cuenta.,Les données de votre compte ont été supprimées.,I dati del tuo account sono stati eliminati.,Os dados da sua conta foram excluídos.,Данные вашего аккаунта удалены.,Hesap verileriniz silindi.,Dữ liệu tài khoản của bạn đã được xóa.,Data akun Anda telah dihapus.,تم حذف بيانات حسابك.,आपका खाता डेटा हटा दिया गया है।
account_forgot_password,Forgot password?,忘記密碼？,忘記密碼？,忘记密码？,パスワードをお忘れですか？,비밀번호를 잊으셨나요?,Passwort vergessen?,¿Olvidaste tu contraseña?,Mot de passe oublié ?,Password dimenticata?,Esqueceu a senha?,Забыли пароль?,Parolanızı mı unuttunuz?,Quên mật khẩu?,Lupa kata sandi?,هل نسيت كلمة المرور؟,पासवर्ड भूल गए?
account_reset_sent,Password reset email sent,已寄出密碼重設信,已寄出密碼重設信,已发送密码重置邮件,パスワード再設定メールを送信しました,비밀번호 재설정 이메일을 보냈습니다,E-Mail zum Zurücksetzen des Passworts gesendet,Correo de restablecimiento de contraseña enviado,E-mail de réinitialisation du mot de passe envoyé,Email per la reimpostazione della password inviata,E-mail de redefinição de senha enviado,Письмо для сброса пароля отправлено,Parola sıfırlama e-postası gönderildi,Đã gửi email đặt lại mật khẩu,Email pengaturan ulang kata sandi telah dikirim,تم إرسال بريد إعادة تعيين كلمة المرور,पासवर्ड रीसेट ईमेल भेजा गया
